2018rank,City,State,2018estimate,2010Census,2016 land area (sq mi),2016 population density (sq mi),Zhvi,Median Income,Cost Score,Cost Rank
168,Pasadena,Texas,153219,149043,43.5,3525.0,149500,59206.0,2.5250819173732393,257.0
169,Sunnyvale,California,153185,140081,22.0,6944.0,1713500,71805.0,23.86324072139823,1.0
170,Macon,Georgia,153095,91351,249.3,612.0,78600,56183.0,1.3989996974173682,308.0
171,Kansas City,Kansas,152958,145786,124.8,1216.0,102000,56422.0,1.807805465952997,297.0
172,Pomona,California,152361,149058,23.0,6630.0,424800,71805.0,5.916022561102987,91.0
173,Escondido,California,152213,143911,37.1,4087.0,518900,71805.0,7.226516259313418,54.0
174,Killeen,Texas,149103,127921,53.5,2680.0,122500,59206.0,2.0690470560416174,292.0
175,Naperville,Illinois,148304,141853,38.7,3802.0,398200,62992.0,6.321437642875286,76.0
176,Joliet,Illinois,148099,147433,64.4,2302.0,143700,62992.0,2.2812420624841248,278.0
177,Bellevue,Washington,147599,122363,33.5,4221.0,919800,70979.0,12.958762450865748,10.0
178,Rockford,Illinois,146526,152871,63.5,2325.0,86400,62992.0,1.3716027432054865,310.0
179,Savannah,Georgia,145862,136286,103.6,1417.0,135300,56183.0,2.4082017692184468,269.0
180,Paterson,New Jersey,145627,146199,8.4,17500.0,260800,80088.0,3.256417940265708,221.0
181,Torrance,California,145182,145438,20.5,7180.0,817700,71805.0,11.38778636585196,17.0
182,Bridgeport,Connecticut,144900,144229,16.1,9064.0,175500,74168.0,2.3662495955128895,272.0
183,McAllen,Texas,143433,129877,58.4,2435.0,136700,59206.0,2.3088876127419518,275.0
184,Mesquite,Texas,142816,139824,47.2,3045.0,186500,59206.0,3.150018579198054,226.0
185,Syracuse,New York,142749,145170,25.0,5735.0,87000,64894.0,1.3406478256849632,311.0
186,Midland,Texas,142344,111147,74.4,1809.0,260600,59206.0,4.401580920852616,152.0
187,Pasadena,California,141371,137122,23.0,6176.0,824000,71805.0,11.475523988580182,16.0
188,Murfreesboro,Tennessee,141344,108755,55.9,2360.0,241700,51340.0,4.707830151928321,132.0
189,Miramar,Florida,140823,122041,29.4,4709.0,311000,52594.0,5.913222040536944,92.0
190,Dayton,Ohio,140640,141527,55.7,2522.0,51800,54021.0,0.9588863590085337,317.0
191,Fullerton,California,139640,135161,22.4,6282.0,646200,71805.0,8.9993733026948,29.0
192,Olathe,Kansas,139605,125872,60.9,2225.0,262400,56422.0,4.650668179079083,135.0
193,Orange,California,139484,136416,25.4,5532.0,693600,71805.0,9.659494464173804,25.0
194,Thornton,Colorado,139436,118772,35.7,3829.0,361900,69117.0,5.236049018331236,117.0
195,Roseville,California,139117,118788,43.0,3085.0,460800,71805.0,6.417380405264257,71.0
196,Denton,Texas,138541,113383,93.4,1433.0,236800,59206.0,3.9995946356788163,174.0
197,Waco,Texas,138183,124805,89.0,1510.0,122400,59206.0,2.0673580380366854,293.0
198,Surprise,Arizona,138161,117517,107.9,1230.0,258500,56581.0,4.568671462151606,141.0
199,Carrollton,Texas,136879,119097,36.3,3674.0,287300,59206.0,4.852548728169443,127.0
200,West Valley City,Utah,136401,129480,35.5,3847.0,301600,68358.0,4.412065888411012,151.0
201,Charleston,South Carolina,136208,120083,109.0,1233.0,319100,50570.0,6.31006525608068,77.0
